Designator,Mid X,Mid Y,Rotation,Layer
C1,168,-102.35,90,top
C2,160,-104.98,-90,top
C3,184.5,-89.45,90,top
C4,187,-89.45,90,top
C5,189.5,-89.45,90,top
C6,201.5,-97.475,90,top
C7,201.5,-89.48,90,top
C8,191.5,-88.5,90,top
C9,201.5,-72.45,90,top
C10,204.5,-72.45,90,top
C11,191.05,-73.275,180,top
C12,194.5,-68,90,top
C13,165.5,-86.98,-90,top
C14,163,-79.5,-90,top
C15,221.385,-96.025,0,top
C16,164.5625,-54.5,0,top
C17,165.5,-57,0,top
C18,165.5,-52.5,0,top
D1,197,-82.65,90,top
D2,217.5,-102,-90,top
D3,212.515,-65,180,top
D4,212.49,-66.5,180,top
J1,155.5,-94.5,-90,top
J2,177.5,-106,0,top
J3,226,-82,90,top
J4,155.4,-72.85,-90,top
J5,155.4,-84.85,-90,top
J6,200.54,-54.5,-90,top
L1,206,-81.75,90,top
P1,154.3,-61.225,-90,top
R1,191.5,-92.5,0,top
R2,201.5,-91.51,90,top
R3,204.5,-90.825,90,top
R4,204.5,-94.01,90,top
R6,217.405,-97.525,0,top
R7,221,-62.5,90,top
R8,179,-73.01,90,top
R9,188,-69.5,180,top
R10,209,-58,0,top
R11,215.025,-65,180,top
R12,215,-66.5,180,top
R13,156,-55,180,top
SW1,218,-55.6,-90,top
SW2,212,-55.6,-90,top
U1,177,-58,0,top
U2,162.3625,-62.175,180,top
U3,196.65,-90.3,0,top
U4,195,-72.4125,90,top
U5,168.1375,-83.95,180,top
U6,164.5,-76.5,180,top
U7,217.405,-93.025,-90,top
