Designator,Mid X,Mid Y,Layer,Rotation
C1,162.75,-117.45,top,-90
C2,165,-117.45,top,-90
C3,167.25,-117.45,top,-90
C4,174.25,-119.5,top,0
C5,177.75,-113.98,top,90
C6,169.75,-110.48,top,90
C7,195,-111,top,0
C8,195,-108.5,top,0
C9,179.5,-100.45,top,-90
C10,176.75,-94,top,180
C11,185.5,-95.5,top,-90
C12,187.5,-94.52,top,-90
C13,189,-94.52,top,-90
C14,190,-99.5,top,0
C15,193.5,-99.5,top,180
C16,182.75,-81.98,top,-90
C17,211.25,-57.5,top,-90
C18,222.75,-68.75,top,180
C19,157.6,-110.5,top,0
D1,174.25,-107.65,top,90
D3,177.985,-80.5,top,0
D4,177.995,-82.5,top,0
J1,154.025,-77.5,top,-90
J2,177.5,-126,top,0
J3,226,-102.5,top,90
J4,202.5,-54,top,180
J5,207.5,-117.5,top,0
J6,217,-113.25,top,90
J7,168,-88,top,0
J8,168,-76.5,top,0
J9,167.25,-63.5,top,0
L1,185.875,-109.5,top,0
R1,170.25,-118.76,top,90
R2,177.75,-116.01,top,90
R3,182.75,-116.51,top,90
R4,182.75,-119.01,top,90
R11,175.5,-80.5,top,0
R12,175.5,-82.5,top,0
U1,189.25,-88.1625,top,90
U2,172.8125,-114.905,top,0
U3,179.45,-95.6375,top,90
U4,201.875,-92.8625,top,90
U5,209.075,-92.8625,top,90
Y1,191.85,-96.1,top,-90
