Comment,Designator,Footprint,JLCPCB Part #
100nF,"C1,C8,C13,C18,C19",Capacitor_SMD:C_0402_1005Metric,C1525
10uF,"C2,C3,C4,C5,C11",Capacitor_SMD:C_0805_2012Metric,C440198
11nF,C6,Capacitor_SMD:C_0805_2012Metric,C710944
8.2pF,C7,Capacitor_SMD:C_0402_1005Metric,C1579
47uF,"C9,C10",Capacitor_SMD:C_0805_2012Metric,C76636
20pF,"C14,C15",Capacitor_SMD:C_0402_1005Metric,C1554
100uF,"C16,C17,C20",Capacitor_SMD:C_Elec_8x10.2,C3352
SS310,D1,Diode_SMD:D_SMB,C14651
LED,"D3,D4",LED_SMD:LED_0402_1005Metric,C71911
Conn_01x11,"J1,J2,J3,J4",Connector_JST:JST_XH_B11B-XH-A_1x11_P2.50mm_Vertical,C158031
Conn_01x03,"J5,J6",Connector_JST:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C265101
Conn_02x05_Odd_Even,J7,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical,C239059
Conn_01x03,J8,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,C49257
Conn_01x04_Pin,J9,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,C124378
10uH,L1,Inductor_SMD:L_APV_APH1030,C22463839
274k,R1,Resistor_SMD:R_0402_1005Metric,C27004
15.8k,R2,Resistor_SMD:R_0402_1005Metric,C26956
60k,R3,Resistor_SMD:R_0402_1005Metric,C25911
11.5k,R4,Resistor_SMD:R_0402_1005Metric,C159139
470,"R11,R12",Resistor_SMD:R_0402_1005Metric,C25117
STM32G0B1CBTx,U1,Package_QFP:LQFP-48_7x7mm_P0.5mm,C529341
74HCT4051,"U2,U3",Package_SO:TSSOP-16_4.4x5mm_P0.65mm,C192055
TPS54560BDDA,U4,Package_SO:Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,C1850354
AP2112K-3.3,U5,Package_TO_SOT_SMD:SOT-23-5,C51118
8MHz Crystal,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C57131
